date,open,high,low,close,volume,maturity
2024-02-21,4.287,4.331,4.252,4.3206,0,10y
2024-02-22,4.323,4.354,4.295,4.3207,0,10y
2024-02-23,4.3207,4.351,4.246,4.2559,0,10y
2024-02-26,4.24,4.307,4.219,4.2775,0,10y
2024-02-27,4.28,4.321,4.258,4.3091,0,10y
2024-02-28,4.303,4.307,4.264,4.2658,0,10y
2024-02-29,4.268,4.319,4.225,4.2443,0,10y
2024-03-01,4.26,4.296,4.178,4.1856,0,10y
2024-03-04,4.195,4.235,4.19,4.217,0,10y
2024-03-05,4.217,4.223,4.112,4.135,0,10y
2024-03-06,4.158,4.17,4.081,4.1059,0,10y
2024-03-07,4.104,4.127,4.054,4.0923,0,10y
2024-03-08,4.088,4.108,4.038,4.0846,0,10y
2024-03-11,4.081,4.1001,4.081,4.1001,0,10y
2024-03-12,4.094,4.1566,4.092,4.1566,0,10y
2024-03-13,4.147,4.1918,4.147,4.1918,0,10y
2024-03-14,4.19,4.2962,4.19,4.2962,0,10y
2024-03-15,4.294,4.3142,4.294,4.3142,0,10y
2024-03-18,4.316,4.3341,4.316,4.3341,0,10y
2024-03-19,4.332,4.332,4.3024,4.3024,0,10y
2024-03-20,4.3024,4.3024,4.2768,4.2768,0,10y
2024-03-21,4.269,4.2748,4.269,4.2748,0,10y
2024-03-22,4.261,4.261,4.2138,4.2138,0,10y
2024-03-25,4.192,4.2513,4.192,4.2513,0,10y
2024-03-26,4.24,4.24,4.2336,4.2336,0,10y
2024-03-27,4.234,4.234,4.1884,4.1884,0,10y
2024-03-28,4.21,4.216,4.2062,4.2062,0,10y
2024-03-29,4.2062,4.2062,4.2062,4.2062,0,10y
2024-04-01,4.2,4.337,4.189,4.3251,0,10y
2024-04-02,4.309,4.405,4.303,4.3551,0,10y
2024-04-03,4.363,4.429,4.343,4.3472,0,10y
2024-04-04,4.341,4.381,4.299,4.3034,0,10y
2024-04-05,4.31,4.406,4.306,4.3956,0,10y
2024-04-08,4.414,4.462,4.406,4.4218,0,10y
2024-04-09,4.426,4.3656,4.354,4.3656,0,10y
2024-04-10,4.366,4.568,4.342,4.5456,0,10y
2024-04-11,4.536,4.593,4.513,4.5722,0,10y
2024-04-12,4.577,4.577,4.483,4.5196,0,10y
2024-04-15,4.528,4.663,4.52,4.6158,0,10y
2024-04-16,4.608,4.696,4.591,4.6633,0,10y
2024-04-17,4.682,4.682,4.577,4.5853,0,10y
2024-04-18,4.598,4.651,4.561,4.6347,0,10y
2024-04-19,4.629,4.631,4.496,4.6145,0,10y
2024-04-22,4.643,4.668,4.608,4.6167,0,10y
2024-04-23,4.615,4.652,4.57,4.6025,0,10y
2024-04-24,4.607,4.669,4.603,4.6417,0,10y
2024-04-25,4.65,4.739,4.619,4.7019,0,10y
2024-04-26,4.715,4.715,4.642,4.6692,0,10y
2024-04-29,4.655,4.659,4.607,4.6177,0,10y
2024-04-30,4.612,4.692,4.603,4.6798,0,10y
2024-05-01,4.678,4.695,4.583,4.6303,0,10y
2024-05-02,4.628,4.651,4.569,4.5769,0,10y
2024-05-03,4.584,4.596,4.455,4.5016,0,10y
2024-05-06,4.498,4.543,4.469,4.4894,0,10y
2024-05-07,4.496,4.496,4.42,4.457,0,10y
2024-05-08,4.461,4.5,4.457,4.4958,0,10y
2024-05-09,4.496,4.52,4.447,4.457,0,10y
2024-05-10,4.461,4.508,4.443,4.5003,0,10y
2024-05-13,4.49,4.496,4.459,4.4865,0,10y
2024-05-14,4.4492,4.4492,4.4492,4.4492,0,10y
2024-05-15,4.3517,4.3517,4.3517,4.3517,0,10y
2024-05-16,4.3789,4.3789,4.3789,4.3789,0,10y
2024-05-17,4.4218,4.4218,4.4218,4.4218,0,10y
2024-05-20,4.4433,4.4433,4.4433,4.4433,0,10y
2024-05-21,4.412,4.412,4.412,4.412,0,10y
2024-05-22,4.4257,4.4257,4.4257,4.4257,0,10y
2024-05-23,4.4767,4.4767,4.4767,4.4767,0,10y
2024-05-24,4.4669,4.4669,4.4669,4.4669,0,10y
2024-05-27,4.4669,4.4669,4.4669,4.4669,0,10y
2024-05-28,4.542,4.542,4.542,4.542,0,10y
2024-05-29,4.6137,4.6137,4.6137,4.6137,0,10y
2024-05-30,4.62,4.628,4.542,4.548,0,10y
2024-05-31,4.544,4.572,4.485,4.4867,0,10y
2024-06-03,4.497,4.501,4.39,4.4021,0,10y
2024-06-04,4.398,4.414,4.314,4.3279,0,10y
2024-06-05,4.336,4.359,4.275,4.2813,0,10y
2024-06-06,4.287,4.32,4.277,4.287,0,10y
2024-06-07,4.295,4.435,4.289,4.4315,0,10y
2024-06-10,4.449,4.479,4.441,4.467,0,10y
2024-06-11,4.463,4.465,4.394,4.3981,0,10y
2024-06-12,4.406,4.426,4.25,4.3297,0,10y
2024-06-13,4.306,4.328,4.223,4.2384,0,10y
2024-06-14,4.252,4.271,4.19,4.2093,0,10y
2024-06-17,4.242,4.293,4.23,4.2751,0,10y
2024-06-18,4.273,4.3,4.207,4.2149,0,10y
2024-06-19,4.2149,4.2149,4.2149,4.2149,0,10y
2024-06-20,4.238,4.294,4.23,4.2536,0,10y
2024-06-21,4.257,4.277,4.219,4.2535,0,10y
2024-06-24,4.255,4.275,4.226,4.2418,0,10y
2024-06-25,4.236,4.257,4.211,4.2302,0,10y
2024-06-26,4.246,4.331,4.246,4.3157,0,10y
2024-06-27,4.343,4.347,4.277,4.2903,0,10y
2024-06-28,4.294,4.402,4.261,4.3705,0,10y
2024-07-01,4.408,4.493,4.386,4.4772,0,10y
2024-07-02,4.459,4.465,4.414,4.4316,0,10y
2024-07-03,4.4316,4.445,4.339,4.3469,0,10y
2024-07-04,4.3469,4.3469,4.3469,4.3469,0,10y
2024-07-05,4.374,4.402,4.271,4.2784,0,10y
2024-07-08,4.302,4.317,4.265,4.2764,0,10y
2024-07-09,4.284,4.327,4.274,4.2959,0,10y
2024-07-10,4.294,4.312,4.267,4.2841,0,10y
2024-07-11,4.284,4.315,4.168,4.2024,0,10y
2024-07-12,4.214,4.241,4.179,4.177,0,10y
2024-07-15,4.177,4.249,4.177,4.2255,0,10y
2024-07-16,4.222,4.222,4.156,4.1634,0,10y
2024-07-17,4.169,4.196,4.144,4.1518,0,10y
2024-07-18,4.167,4.206,4.157,4.1982,0,10y
2024-07-19,4.186,4.249,4.184,4.2389,0,10y
2024-07-22,4.221,4.278,4.206,4.2545,0,10y
2024-07-23,4.253,4.256,4.221,4.2506,0,10y
2024-07-24,4.256,4.292,4.21,4.2877,0,10y
2024-07-25,4.274,4.276,4.196,4.2524,0,10y
2024-07-26,4.241,4.264,4.19,4.1958,0,10y
2024-07-29,4.184,4.186,4.151,4.1705,0,10y
2024-07-30,4.178,4.188,4.132,4.1452,0,10y
2024-07-31,4.153,4.155,4.032,4.0545,0,10y
2024-08-01,4.06,4.066,3.966,3.9894,0,10y
2024-08-02,3.966,3.974,3.787,3.796,0,10y
2024-08-05,3.736,3.83,3.667,3.779,0,10y
2024-08-06,3.847,3.909,3.805,3.9014,0,10y
2024-08-07,3.897,3.977,3.89,3.9545,0,10y
2024-08-08,3.923,4.022,3.894,3.9935,0,10y
2024-08-09,3.978,3.984,3.921,3.9398,0,10y
2024-08-12,3.9398,3.967,3.896,3.9054,0,10y
2024-08-13,3.907,3.925,3.845,3.8503,0,10y
2024-08-15,3.841,3.953,3.828,3.915,0,10y
2024-08-16,3.913,3.925,3.864,3.8902,0,10y
2024-08-19,3.904,3.905,3.852,3.8673,0,10y
2024-08-20,3.871,3.886,3.809,3.8142,0,10y
2024-08-21,3.807,3.833,3.763,3.7934,0,10y
2024-08-22,3.803,3.877,3.788,3.8578,0,10y
2024-08-23,3.839,3.86,3.791,3.8047,0,10y
2024-08-26,3.78,3.822,3.774,3.8198,0,10y
2024-08-27,3.81,3.867,3.81,3.8311,0,10y
2024-08-28,3.822,3.848,3.806,3.8406,0,10y
2024-08-29,3.837,3.888,3.816,3.8691,0,10y
2024-08-30,3.863,3.932,3.852,3.9188,0,10y
2024-09-02,3.9188,3.9188,3.9188,3.9188,0,10y
2024-09-03,3.932,3.932,3.825,3.8348,0,10y
2024-09-04,3.833,3.842,3.753,3.7609,0,10y
2024-09-05,3.759,3.774,3.723,3.7288,0,10y
2024-09-06,3.731,3.77,3.65,3.7155,0,10y
2024-09-09,3.738,3.763,3.693,3.7004,0,10y
2024-09-10,3.712,3.723,3.637,3.646,0,10y
2024-09-11,3.637,3.689,3.605,3.6572,0,10y
2024-09-12,3.665,3.704,3.64,3.6815,0,10y
2024-09-13,3.648,3.678,3.625,3.6588,0,10y
2024-09-16,3.6588,3.663,3.618,3.6214,0,10y
2024-09-17,3.623,3.655,3.599,3.6437,0,10y
2024-09-18,3.64,3.719,3.634,3.7113,0,10y
2024-09-19,3.719,3.768,3.691,3.7226,0,10y
2024-09-20,3.711,3.764,3.7,3.7338,0,10y
2024-09-23,3.7338,3.794,3.73,3.747,0,10y
2024-09-24,3.745,3.808,3.726,3.7356,0,10y
2024-09-25,3.737,3.792,3.726,3.7868,0,10y
2024-09-26,3.781,3.821,3.754,3.7944,0,10y
2024-09-27,3.794,3.81,3.741,3.7487,0,10y
2024-09-30,3.756,3.806,3.749,3.7904,0,10y
2024-10-01,3.777,3.79,3.698,3.7391,0,10y
2024-10-02,3.733,3.817,3.724,3.7809,0,10y
2024-10-03,3.79,3.855,3.785,3.8496,0,10y
2024-10-04,3.838,3.985,3.834,3.9769,0,10y
2024-10-07,3.987,4.033,3.967,4.0256,0,10y
2024-10-08,4.018,4.057,3.996,4.0178,0,10y
2024-10-09,4.012,4.078,4.006,4.0667,0,10y
2024-10-10,4.069,4.12,4.053,4.0746,0,10y
